sentiment,risk,growth,date,filename
0,0,0,2020-03-31,MDA_TSLA_10-Q_20200331.txt
0,0,0,2020-06-30,MDA_TSLA_10-Q_20200630.txt
0,0,0,2020-09-30,MDA_TSLA_10-Q_20200930.txt
0,0,0,2020-12-31,MDA_TSLA_10-K_20201231.txt
0,0,0,2021-03-31,MDA_TSLA_10-Q_20210331.txt
0,0,0,2021-06-30,MDA_TSLA_10-Q_20210630.txt
0,0,0,2021-09-30,MDA_TSLA_10-Q_20210930.txt
0,0,0,2022-03-31,MDA_TSLA_10-Q_20220331.txt
0,0,0,2022-06-30,MDA_TSLA_10-Q_20220630.txt
0,0,0,2022-09-30,MDA_TSLA_10-Q_20220930.txt
0,0,0,2022-12-31,MDA_TSLA_10-K_20221231.txt
0,0,0,2023-03-31,MDA_TSLA_10-Q_20230331.txt
0,0,0,2023-06-30,MDA_TSLA_10-Q_20230630.txt
0,0,0,2023-09-30,MDA_TSLA_10-Q_20230930.txt
0,0,0,2023-12-31,MDA_TSLA_10-K_20231231.txt
0,0,0,2024-03-31,MDA_TSLA_10-Q_20240331.txt
0,0,0,2024-06-30,MDA_TSLA_10-Q_20240630.txt
0,0,0,2024-09-30,MDA_TSLA_10-Q_20240930.txt
0,0,0,2024-12-31,MDA_TSLA_10-K_20241231.txt
